1. Âge :,2. Genre :,3. Dans quelle région êtes-vous basé(e) ?,4. Profession : ,5. A quel type d'établissement appartenez-vous ?,6. Niveau déducation  :,7. Votre moyenne l'année précédente :,1. Avez-vous déjà entendu parler de l'intelligence artificielle (IA) ?,2. Comment évalueriez-vous votre niveau de connaissance de l'IA ?,3. Avez-vous suivi une formation ou un cours sur l'IA ?,"1. Êtes-vous satisfait(e) de la qualité de l’enseignement dans votre établissement (lycée, collège ou faculté) ?     ",2. À quel niveau l’IA est-elle utilisée dans votre environnement éducatif ?,"3. Sur une échelle de 1 à 5, pensez-vous que l’IA améliore la qualité de l’éducation?",4. Quels outils d’IA utilisez-vous pour préparer vos cours ou évaluer les élèves ?(Pour Enseignant),5. Comment percevez-vous l’impact de l’IA sur la méthode d’enseignement ? ,"1. Quels avantages voyez-vous dans l’utilisation de l’IA dans l’éducation ?",2. Avez-vous déjà utilisé un outil d’IA pour compléter un projet académique?,"3. Quels risques pensez-vous que l’IA peut apporter dans l’éducation ?",4.  Avez-vous déjà utilisé un outil d’IA pour obtenir des réponses pendant un examen?
12-18 ans,Féminin,Sousse,Élève,Privé,Secondaire,15,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Ben Arous ,Élève,Public,Secondaire,15.75,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,17.58,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Dépendance à la technologie.,Non
12-18 ans,Masculin,Tunis,Élève,Public,Secondaire,14,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,5,"Correction automatique., Autre",Positif,Meilleure gestion administrative,Oui,Remplacement partiel des enseignants.,Oui
12-18 ans,Féminin,Tunis,Élève,Public,Secondaire,14.92,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,"Correction automatique., Autre",Positif,Amélioration de l’apprentissage personnalisé.,Oui,Remplacement partiel des enseignants.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,14.85,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),10.50,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Tunis,Étudiant(e),Public,Secondaire,16,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2,Correction automatique.,Négatif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Ingénieurie,319,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,5,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
26-35 ans,Masculin,Gafsa,Administratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Masculin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.75,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,1,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,Dépendance à la technologie.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Non,Non,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Arianna,Étudiant(e),Public,Ingénieurie,12,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Masculin,Nabeul,Élève,Privé,Secondaire,15.75,Non,Connaissance de base,Oui,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Négatif,Meilleure gestion administrative,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Jendouba ,Élève,Public,Secondaire,16.7,Non,Aucune connaissance,Non,Oui,Utilisée pour certaines tâches,3,Autre,Neutre,Amélioration de l’apprentissage personnalisé.,Non,Dépendance à la technologie.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Master),13.14,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Privé,Universitaire (Licence),10.26,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3,Correction automatique.,Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,8,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,4,Autre,Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3,Correction automatique.,Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Oui,Non,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,9.63,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,7,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,Correction automatique.,Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,10,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,13.56,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Oui
12-18 ans,Masculin,Nabeul,Élève,Public,Secondaire,14,Non,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Remplacement partiel des enseignants.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,10.85,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,Correction automatique.,Positif,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Non
12-18 ans,Masculin,Nabeul ,Élève,Public,Secondaire,11,Oui,Aucune connaissance,Oui,Moyennement,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,14.03,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,14.05,Oui,Connaissance intermédiaire,Oui,Oui,Très peu ou pas utilisée,4,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,Dépendance à la technologie.,Non
12-18 ans,Masculin,Nabeul,Étudiant(e),Public,Secondaire,12,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,3,Correction automatique.,Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13,Oui,Connaissance de base,Oui,Moyennement,Fortement intégrée dans les programmes,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
Plus de 45 ans,Masculin,Nabeul,Enseignant(e),Public,Universitaire (Master),11,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Négatif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Bizerte ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
Plus de 45 ans,Masculin,Mahdia,Chercheur(se),Public,Universitaire (Master),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Négatif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,13,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,3,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Privé,Ingénieurie,14.33,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),15.07,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,11.85,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,13.71,Oui,Connaissance intermédiaire,Oui,Oui,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Masculin,Kasserine,Étudiant(e),Public,Ingénieurie,10.84,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,14.89,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,14.65,Oui,Connaissance intermédiaire,Oui,Moyennement,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Gafsa,Étudiant(e),Public,Ingénieurie,11.60,Oui,Connaissance de base,Oui,Oui,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Non
18-25 ans,Masculin,Tunisnne ,Étudiant(e),Public,Ingénieurie,13.54,Oui,Connaissance intermédiaire,Non,Oui,Utilisée pour certaines tâches,3,Correction automatique.,Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Kairouan,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Mahdia,Étudiant(e),Public,Autre,12:08,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,13.20,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,15.48,Oui,Connaissance de base,Oui,Oui,Très peu ou pas utilisée,3,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
36-45 ans,Masculin,Arianna,Enseignant(e),Public,Universitaire (maitrise informatique),11,Oui,Connaissance de base,Oui ,Oui,Très peu ou pas utilisée,5,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Non,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Enseignant(e),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3,Autre,Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Non,Aucune connaissance,Oui ,Moyennement,Très peu ou pas utilisée,2,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Autre,10.73,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Bac,11,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
Plus de 45 ans,Féminin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Adminitratif(ve),Public,Universitaire (Master),11,Non,Aucune connaissance,Non,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Enseignant(e),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Oui,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Secondaire,11,Oui,Aucune connaissance,Non,Oui,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
36-45 ans,Masculin,Arianna,Enseignant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui ,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Non,Perte de créativité chez les élèves.,Non
26-35 ans,Féminin,Arianna,Enseignant(e),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,3,Autre,Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
Plus de 45 ans,Féminin,Tunis,Enseignant(e),Public,Secondaire,11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,2,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
Plus de 45 ans,Féminin,Arianna,Adminitratif(ve),Public,Secondaire,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
36-45 ans,Féminin,Arianna,Enseignant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
Plus de 45 ans,Masculin,Gafsa,Enseignant(e),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,1,Autre,Positif,Automatisation des tâches répétitives pour les enseignants,Non,Remplacement partiel des enseignants.,Non
26-35 ans,Féminin,Arianna,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,9.63,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,2.73133037765771,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin, Tunis ,Étudiant(e),Public,Ingénieurie,12,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,2.62305594517483,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,2.78073238851223,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
12-18 ans,Masculin,Nabeul,Élève,Public,Secondaire,14,Non,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,2.08635820156384,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Gafsa ,Étudiant(e),Public,Universitaire (Master),13.98,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,2.16146927409812,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),13.22,Oui,Connaissance intermédiaire,Non,Moyennement,Fortement intégrée dans les programmes,5.63592848043049,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,9.63,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,2.52531969497194,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Kasserine,Étudiant(e),Public,Ingénieurie,10.84,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,2.64527766748212,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Non
12-18 ans,Masculin,Tunis,Élève,Public,Secondaire,15,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,1.13376848717312,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Ingénieurie,319,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,5.75987926003645,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,13,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,3.19449145769262,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,8,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3.50374964673563,Autre,Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,7,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.04817462898521,Correction automatique.,Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
26-35 ans,Féminin,Arianna,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,5.39486011535214,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
